world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
hard_two_big_rooms_0,N57650,N64674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017,0.0088,0.0279,0.0616
hard_two_big_rooms_0,N83426,N57809,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8711,0.7956,0.7202,0.6493,0.5841
hard_two_big_rooms_0,N83426,N90379,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1287,0.2027,0.2709,0.3227,0.3543
hard_two_big_rooms_0,N83426,N96263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017,0.0088,0.0279,0.0616
hard_two_big_rooms_0,N31420,N24339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9941,0.9696,0.9071,0.8072
hard_two_big_rooms_0,N31420,N77459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0152,0.0465,0.0964
hard_two_big_rooms_0,N31420,N91186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0152,0.0465,0.0964
hard_two_big_rooms_0,N84525,N99241,1.0,1.0,1.0,1.0,1.0,1.0,0.9997,0.9968,0.9837,0.9495,0.8907,0.8176
hard_two_big_rooms_0,N84525,N92698,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0032,0.0163,0.0505,0.1093,0.1824
hard_two_big_rooms_0,N52631,N80859,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9458,0.8828,0.7995,0.7085,0.622
hard_two_big_rooms_0,N52631,N95968,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1135,0.1845,0.2482,0.2938
hard_two_big_rooms_0,N52631,N16915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0037,0.016,0.0432,0.0842
hard_two_big_rooms_0,N84083,N41946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,0.9937,0.9687,0.9058,0.806
hard_two_big_rooms_0,N84083,N36901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0194,0.0553,0.1091
hard_two_big_rooms_0,N84083,N90692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.0119,0.039,0.0849
hard_two_big_rooms_0,N65366,N27681,1.0,1.0,1.0,1.0,1.0,1.0,0.9997,0.9968,0.9837,0.9495,0.8907,0.8176
hard_two_big_rooms_0,N65366,N34588,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0032,0.0163,0.0505,0.1093,0.1824
hard_two_big_rooms_0,N35525,N39258,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9458,0.8828,0.7995,0.7085,0.622
hard_two_big_rooms_0,N35525,N92444,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1135,0.1845,0.2482,0.2938
hard_two_big_rooms_0,N35525,N56780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0037,0.016,0.0432,0.0842
hard_two_big_rooms_0,N55089,N93745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,0.9937,0.9687,0.9058,0.806
hard_two_big_rooms_0,N55089,N95056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0194,0.0553,0.1091
hard_two_big_rooms_0,N55089,N21837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.0119,0.039,0.0849
hard_two_big_rooms_0,N97594,N76672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9941,0.9696,0.9071,0.8072
hard_two_big_rooms_0,N97594,N20433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0152,0.0465,0.0964
hard_two_big_rooms_0,N97594,N47793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0152,0.0465,0.0964
hard_two_big_rooms_0,N79964,N95776,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8711,0.7956,0.7202,0.6493,0.5841
hard_two_big_rooms_0,N79964,N50981,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1287,0.2027,0.2709,0.3227,0.3543
hard_two_big_rooms_0,N79964,N36145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017,0.0088,0.0279,0.0616
hard_two_big_rooms_0,N60081,N75145,1.0,1.0,1.0,0.9993,0.9947,0.9768,0.9355,0.8711,0.7956,0.7202,0.6493,0.5841
hard_two_big_rooms_0,N60081,N16120,0.0,0.0,0.0,0.0007,0.0053,0.0232,0.0645,0.1287,0.2027,0.2709,0.3227,0.3543
hard_two_big_rooms_0,N60081,N40708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017,0.0088,0.0279,0.0616
hard_two_big_rooms_0,N80135,N31382,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N80135,N63217,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N31569,N52316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N31569,N35440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N87357,N75620,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N87357,N80746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
hard_two_big_rooms_0,N51016,N41181,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N51016,N11635,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N50662,N61745,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N50662,N20012,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N93827,N38153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9958,0.976,0.9208,0.8259
hard_two_big_rooms_0,N93827,N93175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N93827,N93970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N93873,N99922,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N93873,N52987,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N14369,N87870,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N14369,N90527,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N44182,N16921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9955,0.9753,0.9197,0.8248
hard_two_big_rooms_0,N44182,N66556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.003,0.0153,0.0471,0.0985
hard_two_big_rooms_0,N44182,N69941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0015,0.0094,0.0332,0.0767
hard_two_big_rooms_0,N30173,N63423,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9461,0.8844,0.8045,0.7177,0.6338
hard_two_big_rooms_0,N30173,N10625,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0537,0.1137,0.1856,0.2515,0.2994
hard_two_big_rooms_0,N30173,N82107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0019,0.0099,0.0309,0.0668
hard_two_big_rooms_0,N79025,N39366,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9684,0.9204,0.852
hard_two_big_rooms_0,N79025,N57243,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0316,0.0796,0.148
hard_two_big_rooms_0,N12252,N82375,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N12252,N25786,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N92312,N37722,1.0,1.0,1.0,1.0,1.0,0.9999,0.9988,0.9917,0.9683,0.9202,0.8517,0.7773
hard_two_big_rooms_0,N92312,N71221,0.0,0.0,0.0,0.0,0.0,0.0001,0.0012,0.0083,0.0317,0.0798,0.1483,0.2227
hard_two_big_rooms_0,N18254,N81296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9958,0.976,0.9208,0.8259
hard_two_big_rooms_0,N18254,N84492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N18254,N12938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0021,0.012,0.0396,0.087
hard_two_big_rooms_0,N71978,N46320,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9958,0.9804,0.9425,0.8808
hard_two_big_rooms_0,N71978,N64537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0042,0.0196,0.0575,0.1192
