"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"DU-Num",-32.5332803338124,0.7214,0.928,1,NA,3.9,NA,NA,"S17992293","Planning"
"EU",-31.6617788705842,0.7824,1,1,NA,NA,NA,NA,"S17992293","Planning"
"EU-Num",-31.566637344978,0.887,1,1,NA,5.04,NA,NA,"S17992293","Planning"
"PW",-33.8647422371351,0.948,1,1.1092,NA,NA,NA,NA,"S17992293","Planning"
"PW_DU",-34.3855040632,0.8434,0.99,1.1092,NA,NA,NA,NA,"S17992293","Planning"
"Random",-41.4339829051847,1,NA,NA,NA,NA,NA,NA,"S17992293","Heuristic"
"Sampling",-31.4681188485456,NA,NA,NA,NA,NA,500,12.8,"S17992293","Planning"
"Steps",-43.5625849202506,8,NA,NA,1,NA,NA,NA,"S17992293","Heuristic"
"Steps-Cells",-34.8022414252523,0.887,NA,NA,0.4,NA,NA,NA,"S17992293","Heuristic"
"Steps-Cells-Num",-34.122899307981,0.3466,NA,NA,0.4,0.6,NA,NA,"S17992293","Heuristic"
"Steps-Num",-42.4103225476898,2.9916,NA,NA,1,0.1,NA,NA,"S17992293","Heuristic"
"Cells",-55.7683118119316,8,NA,NA,0,NA,NA,NA,"S75120983","Heuristic"
"Cells-Num",-47.2797986986659,8,NA,NA,0,0.1,NA,NA,"S75120983","Heuristic"
"DU",-17.976437583739,1.07,0,1,NA,NA,NA,NA,"S75120983","Planning"
"DU-Num",-18.2301848637927,0.4,0,1,NA,0.42,NA,NA,"S75120983","Planning"
"EU",-47.2054873529351,8,1,1,NA,NA,NA,NA,"S75120983","Planning"
"EU-Num",-47.2054873529351,8,1,1,NA,10,NA,NA,"S75120983","Planning"
"PW",-19.6910419419037,0.6342,1,0.1,NA,NA,NA,NA,"S75120983","Planning"
"PW_DU",-19.8528575551,0.948,0.298,0.9004,NA,NA,NA,NA,"S75120983","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S75120983","Heuristic"
"Sampling",-34.269864673276,NA,NA,NA,NA,NA,8.6,1.2,"S75120983","Planning"
"Steps",-18.5372401713142,0.826,NA,NA,1,NA,NA,NA,"S75120983","Heuristic"
"Steps-Cells",-18.5372401713142,0.826,NA,NA,1,NA,NA,NA,"S75120983","Heuristic"
"Steps-Cells-Num",-18.0319363595043,0.3244,NA,NA,1,0.5,NA,NA,"S75120983","Heuristic"
"Steps-Num",-18.0319363595043,0.3244,NA,NA,1,0.5,NA,NA,"S75120983","Heuristic"
"Cells",-50.6337365870396,8,NA,NA,0,NA,NA,NA,"S80470082","Heuristic"
"Cells-Num",-44.9900499482927,6.6326,NA,NA,0,0.1,NA,NA,"S80470082","Heuristic"
"DU",-31.0788220670202,1.564,0.28,1,NA,NA,NA,NA,"S80470082","Planning"
"DU-Num",-31.46470538,1.07,0.26,1,NA,3.42,NA,NA,"S80470082","Planning"
"EU",-44.9286795879381,5.069,1,1,NA,NA,NA,NA,"S80470082","Planning"
"EU-Num",-44.9286795879381,5.069,1,1,NA,10,NA,NA,"S80470082","Planning"
"PW",-30.0493963634118,1.2404,1,0.2064,NA,NA,NA,NA,"S80470082","Planning"
"PW_DU",-31.136405121,1.2404,0.792,0.2064,NA,NA,NA,NA,"S80470082","Planning"
"Random",-43.6314074925216,1,NA,NA,NA,NA,NA,NA,"S80470082","Heuristic"
"Sampling",-24.7123805233926,NA,NA,NA,NA,NA,9,1,"S80470082","Planning"
"Steps",-29.6276960919994,1.9728,NA,NA,1,NA,NA,NA,"S80470082","Heuristic"
"Steps-Cells",-30.6319620396606,1.2404,NA,NA,0.8,NA,NA,NA,"S80470082","Heuristic"
"Steps-Cells-Num",-31.5808923407627,0.248,NA,NA,0.8,0.1,NA,NA,"S80470082","Heuristic"
"Steps-Num",-30.2702474814444,0.391,NA,NA,1,0.1,NA,NA,"S80470082","Heuristic"
"Cells",-43.3753636103536,7.5442,NA,NA,0,NA,NA,NA,"S30634664","Heuristic"
"Cells-Num",-43.1747947796227,1.2404,NA,NA,0,0.1,NA,NA,"S30634664","Heuristic"
"DU",-42.0594757002233,1.8536,0.85,1,NA,NA,NA,NA,"S30634664","Planning"
"DU-Num",-36.748623631,0.4534,0.5,1,NA,0.5,NA,NA,"S30634664","Planning"
"EU",-42.5385599206016,2.306,1,1,NA,NA,NA,NA,"S30634664","Planning"
"EU-Num",-42.7416837084008,2.306,1,1,NA,5.44,NA,NA,"S30634664","Planning"
"PW",-43.2940674299639,2.306,1,0.9116,NA,NA,NA,NA,"S30634664","Planning"
"PW_DU",-41.504965421,1.53,0.73,1.7736,NA,NA,NA,NA,"S30634664","Planning"
"Random",-43.2258423794131,1,NA,NA,NA,NA,NA,NA,"S30634664","Heuristic"
"Sampling",-38.9466708680402,NA,NA,NA,NA,NA,10,9.8,"S30634664","Planning"
"Steps",-44.0703843030928,8,NA,NA,1,NA,NA,NA,"S30634664","Heuristic"
"Steps-Cells",-43.3952153331867,1.4448,NA,NA,0.46,NA,NA,NA,"S30634664","Heuristic"
"Steps-Cells-Num",-42.9883754898945,0.3084,NA,NA,0.42,0.18,NA,NA,"S30634664","Heuristic"
"Steps-Num",-43.9713030999431,2.1394,NA,NA,1,0.1,NA,NA,"S30634664","Heuristic"
"Cells",-45.4963688668489,8,NA,NA,0,NA,NA,NA,"S94893237","Heuristic"
"Cells-Num",-45.1606880173391,2.7058,NA,NA,0,0.1,NA,NA,"S94893237","Heuristic"
"DU",-37.2538370250788,0.8434,0.79,1,NA,NA,NA,NA,"S94893237","Planning"
"DU-Num",-38.200320469,0.4,0.55,1,NA,1.5,NA,NA,"S94893237","Planning"
"EU",-42.131151013884,1.3838,1,1,NA,NA,NA,NA,"S94893237","Planning"
"EU-Num",-42.131151013884,1.3838,1,1,NA,10,NA,NA,"S94893237","Planning"
"PW",-38.9944582018795,0.948,1,0.6116,NA,NA,NA,NA,"S94893237","Planning"
"PW_DU",-37.857107011,0.8434,0.68,1.6604,NA,NA,NA,NA,"S94893237","Planning"
"Random",-43.2258423794131,1,NA,NA,NA,NA,NA,NA,"S94893237","Heuristic"
"Sampling",-48.5225521692194,NA,NA,NA,NA,NA,22,5.4,"S94893237","Planning"
"Steps",-41.7396966062427,4.5098,NA,NA,1,NA,NA,NA,"S94893237","Heuristic"
"Steps-Cells",-38.9299236170145,0.7214,NA,NA,0.54,NA,NA,NA,"S94893237","Heuristic"
"Steps-Cells-Num",-37.5393153409073,0.3022,NA,NA,0.58,0.5,NA,NA,"S94893237","Heuristic"
"Steps-Num",-41.8236755610614,0.9896,NA,NA,1,0.26,NA,NA,"S94893237","Heuristic"
"Cells",-39.0057204237146,2.5918,NA,NA,0,NA,NA,NA,"S85705848","Heuristic"
"Cells-Num",-40.0378681131445,0.9148,NA,NA,0,0.34,NA,NA,"S85705848","Heuristic"
"DU",-30.8566429897931,0.765,0.99,1,NA,NA,NA,NA,"S85705848","Planning"
"DU-Num",-38.3826966221,0.5718,0.818,1,NA,2.56,NA,NA,"S85705848","Planning"
"EU",-30.7310457591976,0.765,1,1,NA,NA,NA,NA,"S85705848","Planning"
"EU-Num",-31.3334191219224,0.765,1,1,NA,4.4,NA,NA,"S85705848","Planning"
"PW",-32.735430159171,0.826,1,1.1092,NA,NA,NA,NA,"S85705848","Planning"
"PW_DU",-32.8032074041,0.765,0.928,1.3528,NA,NA,NA,NA,"S85705848","Planning"
"Random",-44.2065716274245,1,NA,NA,NA,NA,NA,NA,"S85705848","Heuristic"
"Sampling",-34.1244122193418,NA,NA,NA,NA,NA,500,16.6,"S85705848","Planning"
"Steps",-47.0021598607205,8,NA,NA,1,NA,NA,NA,"S85705848","Heuristic"
"Steps-Cells",-31.7052600902775,0.6342,NA,NA,0.4,NA,NA,NA,"S85705848","Heuristic"
"Steps-Cells-Num",-30.7740684580061,0.3022,NA,NA,0.4,0.8,NA,NA,"S85705848","Heuristic"
"Steps-Num",-45.488967622213,3.458,NA,NA,1,0.1,NA,NA,"S85705848","Heuristic"
"Cells",-52.2136150597652,8,NA,NA,0,NA,NA,NA,"S8857646","Heuristic"
"Cells-Num",-44.6479839507138,8,NA,NA,0,0.1,NA,NA,"S8857646","Heuristic"
"DU",-24.4931137081164,1.496,0.04,1,NA,NA,NA,NA,"S8857646","Planning"
"DU-Num",-26.914954594,0.3618,0.04,1,NA,0.18,NA,NA,"S8857646","Planning"
"EU",-45.047011147592,7.5442,1,1,NA,NA,NA,NA,"S8857646","Planning"
"EU-Num",-45.047011147592,7.5442,1,1,NA,10,NA,NA,"S8857646","Planning"
"PW",-26.6380744227356,1.2404,1,0.1,NA,NA,NA,NA,"S8857646","Planning"
"PW_DU",-25.2406496991,1.6152,0.04,2,NA,NA,NA,NA,"S8857646","Planning"
"Random",-43.2258423794131,1,NA,NA,NA,NA,NA,NA,"S8857646","Heuristic"
"Sampling",-35.0966633916641,NA,NA,NA,NA,NA,9,1.2,"S8857646","Planning"
"Steps",-26.227638441862,1.4108,NA,NA,1,NA,NA,NA,"S8857646","Heuristic"
"Steps-Cells",-26.227638441862,1.4108,NA,NA,1,NA,NA,NA,"S8857646","Heuristic"
"Steps-Cells-Num",-25.0662428302528,0.5158,NA,NA,1,0.5,NA,NA,"S8857646","Heuristic"
"Steps-Num",-25.0662428302528,0.5158,NA,NA,1,0.5,NA,NA,"S8857646","Heuristic"
"Cells",-47.9450067462893,8,NA,NA,0,NA,NA,NA,"S14639772","Heuristic"
"Cells-Num",-43.3534524308985,5.721,NA,NA,0,0.1,NA,NA,"S14639772","Heuristic"
"DU",-32.6468508235818,1.1794,0.54,1,NA,NA,NA,NA,"S14639772","Planning"
"DU-Num",-32.32543501,0.6778,0.36,1,NA,1.2,NA,NA,"S14639772","Planning"
"EU",-43.8475306419096,3.5508,1,1,NA,NA,NA,NA,"S14639772","Planning"
"EU-Num",-43.8475306419096,3.5508,1,1,NA,10,NA,NA,"S14639772","Planning"
"PW",-32.7957533961323,1.1794,1,0.3206,NA,NA,NA,NA,"S14639772","Planning"
"PW_DU",-34.894503602,1.1794,0.65,0.9926,NA,NA,NA,NA,"S14639772","Planning"
"Random",-42.1271300857446,1,NA,NA,NA,NA,NA,NA,"S14639772","Heuristic"
"Sampling",-50.3712691822981,NA,NA,NA,NA,NA,7.2,6.4,"S14639772","Planning"
"Steps",-33.1106141167835,2.1394,NA,NA,1,NA,NA,NA,"S14639772","Heuristic"
"Steps-Cells",-36.0364875159494,1.2986,NA,NA,0.76,NA,NA,NA,"S14639772","Heuristic"
"Steps-Cells-Num",-33.7542759712795,0.4222,NA,NA,0.8,0.42,NA,NA,"S14639772","Heuristic"
"Steps-Num",-31.926204218138,0.6764,NA,NA,1,0.34,NA,NA,"S14639772","Heuristic"
"Cells",-54.6427968049127,8,NA,NA,0,NA,NA,NA,"S9664755","Heuristic"
"Cells-Num",-47.0629554596884,8,NA,NA,0,0.1,NA,NA,"S9664755","Heuristic"
"DU",-22.8735417500618,0.7824,0.38,1,NA,NA,NA,NA,"S9664755","Planning"
"DU-Num",-21.2585732942,0.3688,0.2,1,NA,0.5,NA,NA,"S9664755","Planning"
"EU",-47.1993682123332,7.2182,1,1,NA,NA,NA,NA,"S9664755","Planning"
"EU-Num",-47.1993682123332,7.2182,1,1,NA,10,NA,NA,"S9664755","Planning"
"PW",-21.4136782475241,0.7214,1,0.119,NA,NA,NA,NA,"S9664755","Planning"
"PW_DU",-22.113959635,0.7214,0.872,0.48,NA,NA,NA,NA,"S9664755","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S9664755","Heuristic"
"Sampling",-21.5223499992903,NA,NA,NA,NA,NA,9,1,"S9664755","Planning"
"Steps",-21.8407203448586,1.07,NA,NA,1,NA,NA,NA,"S9664755","Heuristic"
"Steps-Cells",-22.3820460605655,1.009,NA,NA,0.98,NA,NA,NA,"S9664755","Heuristic"
"Steps-Cells-Num",-22.0075240105237,0.3688,NA,NA,0.98,0.5,NA,NA,"S9664755","Heuristic"
"Steps-Num",-21.3642596825813,0.391,NA,NA,1,0.5,NA,NA,"S9664755","Heuristic"
"Cells",-38.6629821763425,4.8358,NA,NA,0,NA,NA,NA,"S78726610","Heuristic"
"Cells-Num",-38.3023510046707,0.8434,NA,NA,0,0.1,NA,NA,"S78726610","Heuristic"
"DU",-38.7059367274217,1.935,0.99,1,NA,NA,NA,NA,"S78726610","Planning"
"DU-Num",-33.67646281,0.3244,0.52,1,NA,0.1,NA,NA,"S78726610","Planning"
"EU",-38.7538547355782,1.935,1,1,NA,NA,NA,NA,"S78726610","Planning"
"EU-Num",-41.928128935051,1.6832,1,1,NA,2.56,NA,NA,"S78726610","Planning"
"PW",-36.6007466338913,2.1868,1,2,NA,NA,NA,NA,"S78726610","Planning"
"PW_DU",-36.093359325,1.3256,0.84,2,NA,NA,NA,NA,"S78726610","Planning"
"Random",-38.5434111372878,1,NA,NA,NA,NA,NA,NA,"S78726610","Heuristic"
"Sampling",-43.435104928322,NA,NA,NA,NA,NA,33.8,17.4,"S78726610","Planning"
"Steps",-42.4290504049777,8,NA,NA,1,NA,NA,NA,"S78726610","Heuristic"
"Steps-Cells",-39.8982372794876,2.0202,NA,NA,0.32,NA,NA,NA,"S78726610","Heuristic"
"Steps-Cells-Num",-38.8373373419773,0.3778,NA,NA,0.3,0.1,NA,NA,"S78726610","Heuristic"
"Steps-Num",-40.0385606317288,3.9506,NA,NA,1,0.1,NA,NA,"S78726610","Heuristic"
"Cells",-52.7979106922189,8,NA,NA,0,NA,NA,NA,"S12191702","Heuristic"
"Cells-Num",-45.6531592376362,8,NA,NA,0,0.1,NA,NA,"S12191702","Heuristic"
"DU",-31.6075104604311,1.53,0.28,1,NA,NA,NA,NA,"S12191702","Planning"
"DU-Num",-30.459312585,0.409,0.12,1,NA,0.18,NA,NA,"S12191702","Planning"
"EU",-45.600705411096,7.0884,1,1,NA,NA,NA,NA,"S12191702","Planning"
"EU-Num",-45.600705411096,7.0884,1,1,NA,10,NA,NA,"S12191702","Planning"
"PW",-28.6300525783575,1.3256,1,0.1078,NA,NA,NA,NA,"S12191702","Planning"
"PW_DU",-28.6477890671,1.3256,0.99,0.1078,NA,NA,NA,NA,"S12191702","Planning"
"Random",-44.3245546730815,1,NA,NA,NA,NA,NA,NA,"S12191702","Heuristic"
"Sampling",-41.1280020346302,NA,NA,NA,NA,NA,8.2,1.2,"S12191702","Planning"
"Steps",-31.527980610909,1.7684,NA,NA,1,NA,NA,NA,"S12191702","Heuristic"
"Steps-Cells",-31.3182783036223,1.53,NA,NA,0.96,NA,NA,NA,"S12191702","Heuristic"
"Steps-Cells-Num",-29.0630230043569,0.3466,NA,NA,1,0.1,NA,NA,"S12191702","Heuristic"
"Steps-Num",-29.0630230043569,0.3466,NA,NA,1,0.1,NA,NA,"S12191702","Heuristic"
"Cells",-42.6569052753109,3.3914,NA,NA,0,NA,NA,NA,"S49923888","Heuristic"
"Cells-Num",-43.9026480518755,0.603,NA,NA,0,0.1,NA,NA,"S49923888","Heuristic"
"DU",-36.3790979216053,0.887,0.982,1,NA,NA,NA,NA,"S49923888","Planning"
"DU-Num",-30.958171752,0.2382,0.52,1,NA,0.18,NA,NA,"S49923888","Planning"
"EU",-35.0582161413529,0.948,1,1,NA,NA,NA,NA,"S49923888","Planning"
"EU-Num",-37.1908128052315,0.948,1,1,NA,4.2,NA,NA,"S49923888","Planning"
"PW",-35.4244639502119,1.1552,1,1.3528,NA,NA,NA,NA,"S49923888","Planning"
"PW_DU",-35.143039859,0.887,0.89,1.5472,NA,NA,NA,NA,"S49923888","Planning"
"Random",-46.9791603496642,1,NA,NA,NA,NA,NA,NA,"S49923888","Heuristic"
"Sampling",-39.0212538878391,NA,NA,NA,NA,NA,268,13.6,"S49923888","Planning"
"Steps",-49.6563584031047,8,NA,NA,1,NA,NA,NA,"S49923888","Heuristic"
"Steps-Cells",-39.8414087598633,0.948,NA,NA,0.36,NA,NA,NA,"S49923888","Heuristic"
"Steps-Cells-Num",-41.5369359676059,0.216,NA,NA,0.36,0.18,NA,NA,"S49923888","Heuristic"
"Steps-Num",-48.6128650025294,3.2248,NA,NA,1,0.1,NA,NA,"S49923888","Heuristic"
"Cells",-42.5025376539124,8,NA,NA,0,NA,NA,NA,"S72521759","Heuristic"
"Cells-Num",-42.7726796789221,1.901,NA,NA,0,0.1,NA,NA,"S72521759","Heuristic"
"DU",-39.4603012253283,1.3256,0.88,1,NA,NA,NA,NA,"S72521759","Planning"
"DU-Num",-40.67042425,0.4914,0.49,1,NA,1,NA,NA,"S72521759","Planning"
"EU",-38.2206702810631,1.8536,1,1,NA,NA,NA,NA,"S72521759","Planning"
"EU-Num",-38.4504033194519,1.8536,1,1,NA,7.2,NA,NA,"S72521759","Planning"
"PW",-41.4573677472871,1.53,1,0.7534,NA,NA,NA,NA,"S72521759","Planning"
"PW_DU",-38.99447609,1.4108,0.73,1.7736,NA,NA,NA,NA,"S72521759","Planning"
"Random",-41.7215649726361,1,NA,NA,NA,NA,NA,NA,"S72521759","Heuristic"
"Sampling",-52.7469854304295,NA,NA,NA,NA,NA,17.4,14,"S72521759","Planning"
"Steps",-42.2118001859089,7.5442,NA,NA,1,NA,NA,NA,"S72521759","Heuristic"
"Steps-Cells",-42.1238559500407,1.6492,NA,NA,0.48,NA,NA,NA,"S72521759","Heuristic"
"Steps-Cells-Num",-43.2478866605772,0.3688,NA,NA,0.5,0.18,NA,NA,"S72521759","Heuristic"
"Steps-Num",-42.3347124546199,1.53,NA,NA,1,0.1,NA,NA,"S72521759","Heuristic"
"Cells",-34.8667704588686,2.1394,NA,NA,0,NA,NA,NA,"S12590238","Heuristic"
"Cells-Num",-37.3677081280288,0.5024,NA,NA,0,0.26,NA,NA,"S12590238","Heuristic"
"DU",-38.0460316827996,1.4448,0.99,1,NA,NA,NA,NA,"S12590238","Planning"
"DU-Num",-39.2627047852,0.5808,0.69,1,NA,0.42,NA,NA,"S12590238","Planning"
"EU",-37.8108626625291,1.4448,1,1,NA,NA,NA,NA,"S12590238","Planning"
"EU-Num",-41.4632213321539,1.221,1,1,NA,1.32,NA,NA,"S12590238","Planning"
"PW",-37.5590100329737,1.6492,1,1.5472,NA,NA,NA,NA,"S12590238","Planning"
"PW_DU",-37.434201865,1.53,0.982,1.5472,NA,NA,NA,NA,"S12590238","Planning"
"Random",-42.5326951988531,1,NA,NA,NA,NA,NA,NA,"S12590238","Heuristic"
"Sampling",-49.989870502659,NA,NA,NA,NA,NA,520,28,"S12590238","Planning"
"Steps",-47.6635107266294,8,NA,NA,1,NA,NA,NA,"S12590238","Heuristic"
"Steps-Cells",-36.0860895515583,0.7824,NA,NA,0.32,NA,NA,NA,"S12590238","Heuristic"
"Steps-Cells-Num",-31.7195917082775,0.3466,NA,NA,0.32,0.5,NA,NA,"S12590238","Heuristic"
"Steps-Num",-43.9075300150259,5.395,NA,NA,1,0.1,NA,NA,"S12590238","Heuristic"
"Cells",-50.0353971437422,8,NA,NA,0,NA,NA,NA,"S61913516","Heuristic"
"Cells-Num",-45.2104573838205,5.721,NA,NA,0,0.1,NA,NA,"S61913516","Heuristic"
"DU",-36.7788096126103,1.9728,0.48,1,NA,NA,NA,NA,"S61913516","Planning"
"DU-Num",-33.96978806,0.391,0.2,1,NA,0.1,NA,NA,"S61913516","Planning"
"EU",-45.6594304860298,5.6176,1,1,NA,NA,NA,NA,"S61913516","Planning"
"EU-Num",-45.6594304860298,5.6176,1,1,NA,10,NA,NA,"S61913516","Planning"
"PW",-37.2590653009133,1.9728,1,0.203,NA,NA,NA,NA,"S61913516","Planning"
"PW_DU",-36.29782325,1.8536,0.44,2,NA,NA,NA,NA,"S61913516","Planning"
"Random",-43.918989559973,1,NA,NA,NA,NA,NA,NA,"S61913516","Heuristic"
"Sampling",-39.6792269405324,NA,NA,NA,NA,NA,9,4.6,"S61913516","Planning"
"Steps",-36.4354840308528,2.925,NA,NA,1,NA,NA,NA,"S61913516","Heuristic"
"Steps-Cells",-37.2896685399687,2.2586,NA,NA,0.88,NA,NA,NA,"S61913516","Heuristic"
"Steps-Cells-Num",-36.8967471954573,0.5718,NA,NA,0.9,0.26,NA,NA,"S61913516","Heuristic"
"Steps-Num",-35.9507272592316,0.8608,NA,NA,1,0.34,NA,NA,"S61913516","Heuristic"
"Cells",-41.2894038357386,3.8578,NA,NA,0,NA,NA,NA,"S31520197","Heuristic"
"Cells-Num",-42.2662816732194,1.1184,NA,NA,0,0.34,NA,NA,"S31520197","Heuristic"
"DU",-39.1085629041597,0.9044,0.982,1,NA,NA,NA,NA,"S31520197","Planning"
"DU-Num",-46.42167009,0.5648,0.698,1,NA,1.76,NA,NA,"S31520197","Planning"
"EU",-38.9359066235506,1.0506,1,1,NA,NA,NA,NA,"S31520197","Planning"
"EU-Num",-40.2844024213944,1.0506,1,1,NA,4.88,NA,NA,"S31520197","Planning"
"PW",-39.0738052647128,1.0506,1,1.028,NA,NA,NA,NA,"S31520197","Planning"
"PW_DU",-43.204032399,0.9896,0.888,1.466,NA,NA,NA,NA,"S31520197","Planning"
"Random",-44.2065716274245,1,NA,NA,NA,NA,NA,NA,"S31520197","Heuristic"
"Sampling",-41.7278308815304,NA,NA,NA,NA,NA,246,11.6,"S31520197","Planning"
"Steps",-46.3856656379872,8,NA,NA,1,NA,NA,NA,"S31520197","Heuristic"
"Steps-Cells",-39.9074821952957,0.9044,NA,NA,0.4,NA,NA,NA,"S31520197","Heuristic"
"Steps-Cells-Num",-41.9246819578596,0.3306,NA,NA,0.4,0.52,NA,NA,"S31520197","Heuristic"
"Steps-Num",-45.481539552012,2.9916,NA,NA,1,0.1,NA,NA,"S31520197","Heuristic"
"Cells",-31.1695431153793,1.7344,NA,NA,0,NA,NA,NA,"S86178371","Heuristic"
"Cells-Num",-29.2285075621066,0.6342,NA,NA,0,0.5,NA,NA,"S86178371","Heuristic"
"DU",-27.9989075488356,0.4936,0.99,1,NA,NA,NA,NA,"S86178371","Planning"
"DU-Num",-26.165152646,0.4936,0.982,1,NA,3.5,NA,NA,"S86178371","Planning"
"EU",-27.2046792090878,0.4936,1,1,NA,NA,NA,NA,"S86178371","Planning"
"EU-Num",-24.5526142743532,0.5594,1,1,NA,3.5,NA,NA,"S86178371","Planning"
"PW",-26.5698150161356,0.4936,1,1.028,NA,NA,NA,NA,"S86178371","Planning"
"PW_DU",-29.0708730621,0.5808,0.99,1.1904,NA,NA,NA,NA,"S86178371","Planning"
"Random",-42.1271300857446,1,NA,NA,NA,NA,NA,NA,"S86178371","Heuristic"
"Sampling",-26.6410055950784,NA,NA,NA,NA,NA,700,10.2,"S86178371","Planning"
"Steps",-47.1964722563461,8,NA,NA,1,NA,NA,NA,"S86178371","Heuristic"
"Steps-Cells",-28.4421304839541,0.6342,NA,NA,0.32,NA,NA,NA,"S86178371","Heuristic"
"Steps-Cells-Num",-23.6724816779386,0.216,NA,NA,0.38,0.7,NA,NA,"S86178371","Heuristic"
"Steps-Num",-43.3973908765633,5.8508,NA,NA,1,0.1,NA,NA,"S86178371","Heuristic"
"Cells",-38.7510260384547,3.8578,NA,NA,0,NA,NA,NA,"S9302220","Heuristic"
"Cells-Num",-37.382824662715,1.496,NA,NA,0,0.5,NA,NA,"S9302220","Heuristic"
"DU",-32.9021625248493,1.009,0.99,1,NA,NA,NA,NA,"S9302220","Planning"
"DU-Num",-33.0446480352,0.6342,0.77,1,NA,2.1,NA,NA,"S9302220","Planning"
"EU",-32.8837659976114,1.009,1,1,NA,NA,NA,NA,"S9302220","Planning"
"EU-Num",-33.1572240318402,1.009,1,1,NA,4.12,NA,NA,"S9302220","Planning"
"PW",-32.8438524768935,1.009,1,1.028,NA,NA,NA,NA,"S9302220","Planning"
"PW_DU",-33.660476375,1.009,0.972,1.1092,NA,NA,NA,NA,"S9302220","Planning"
"Random",-41.0284177920762,1,NA,NA,NA,NA,NA,NA,"S9302220","Heuristic"
"Sampling",-34.9720196880986,NA,NA,NA,NA,NA,234,20.6,"S9302220","Planning"
"Steps",-43.8790569509746,8,NA,NA,1,NA,NA,NA,"S9302220","Heuristic"
"Steps-Cells",-35.9142172019555,1.07,NA,NA,0.4,NA,NA,NA,"S9302220","Heuristic"
"Steps-Cells-Num",-34.5541978493249,0.391,NA,NA,0.4,0.5,NA,NA,"S9302220","Heuristic"
"Steps-Num",-42.1892314245454,3.3914,NA,NA,1,0.1,NA,NA,"S9302220","Heuristic"
"Cells",-40.3107313087299,5.8508,NA,NA,0,NA,NA,NA,"S51693885","Heuristic"
"Cells-Num",-40.6143546161862,1.0942,NA,NA,0,0.1,NA,NA,"S51693885","Heuristic"
"DU",-37.1204305649294,1.3256,0.938,1,NA,NA,NA,NA,"S51693885","Planning"
"DU-Num",-38.25865443,1.0942,0.83,1,NA,3.56,NA,NA,"S51693885","Planning"
"EU",-36.3363694528472,1.4108,1,1,NA,NA,NA,NA,"S51693885","Planning"
"EU-Num",-37.0239136806553,1.4108,1,1,NA,8.84,NA,NA,"S51693885","Planning"
"PW",-38.6979768454239,1.3256,1,0.8534,NA,NA,NA,NA,"S51693885","Planning"
"PW_DU",-37.16631743,1.3256,0.938,1.028,NA,NA,NA,NA,"S51693885","Planning"
"Random",-40.3352706115162,1,NA,NA,NA,NA,NA,NA,"S51693885","Heuristic"
"Sampling",-49.8653701199856,NA,NA,NA,NA,NA,326,17.6,"S51693885","Planning"
"Steps",-40.8702989234558,8,NA,NA,1,NA,NA,NA,"S51693885","Heuristic"
"Steps-Cells",-39.4119324482735,0.9044,NA,NA,0.44,NA,NA,NA,"S51693885","Heuristic"
"Steps-Cells-Num",-34.765300186518,0.264,NA,NA,0.5,0.5,NA,NA,"S51693885","Heuristic"
"Steps-Num",-41.2946126105592,1.901,NA,NA,1,0.1,NA,NA,"S51693885","Heuristic"
"Cells",-45.4954875464968,8,NA,NA,0,NA,NA,NA,"S99991343","Heuristic"
"Cells-Num",-43.9137286608672,3.6246,NA,NA,0,0.1,NA,NA,"S99991343","Heuristic"
"DU",-37.4731478611431,1.1552,0.81,1,NA,NA,NA,NA,"S99991343","Planning"
"DU-Num",-36.520704356,0.4222,0.5,1,NA,0.8,NA,NA,"S99991343","Planning"
"EU",-40.1329746517108,1.8536,1,1,NA,NA,NA,NA,"S99991343","Planning"
"EU-Num",-40.1329746517108,1.8536,1,1,NA,10,NA,NA,"S99991343","Planning"
"PW",-40.3818310654595,1.3256,1,0.6534,NA,NA,NA,NA,"S99991343","Planning"
"PW_DU",-38.7723955452,1.1552,0.75,1.2716,NA,NA,NA,NA,"S99991343","Planning"
"Random",-42.8202772663046,1,NA,NA,NA,NA,NA,NA,"S99991343","Heuristic"
"Sampling",-40.9209321260281,NA,NA,NA,NA,NA,18,8.6,"S99991343","Planning"
"Steps",-43.0099831266166,6.3066,NA,NA,1,NA,NA,NA,"S99991343","Heuristic"
"Steps-Cells",-43.6174660392425,2.1394,NA,NA,0.56,NA,NA,NA,"S99991343","Heuristic"
"Steps-Cells-Num",-43.5721632459731,0.5282,NA,NA,0.58,0.26,NA,NA,"S99991343","Heuristic"
"Steps-Num",-42.8498156325475,1.1794,NA,NA,1,0.1,NA,NA,"S99991343","Heuristic"
"Cells",-55.8361939327882,8,NA,NA,0,NA,NA,NA,"S84565588","Heuristic"
"Cells-Num",-47.8506964600777,8,NA,NA,0,0.1,NA,NA,"S84565588","Heuristic"
"DU",-18.9712194436033,0.948,0.04,1,NA,NA,NA,NA,"S84565588","Planning"
"DU-Num",-23.1325761546,0.3548,0.04,1,NA,0.54,NA,NA,"S84565588","Planning"
"EU",-47.7821334271896,7.0884,1,1,NA,NA,NA,NA,"S84565588","Planning"
"EU-Num",-47.7821334271896,7.0884,1,1,NA,10,NA,NA,"S84565588","Planning"
