"subject","world","step","rt","Cell","decisionNumber","treeDepth"
"S13676248","3ways_4",1,1845,"Start",1,2
"S13676248","3ways_4",3,1468,"Decision",2,1
"S13676248","Loop_1",1,1576,"Start",1,1
"S13676248","Equal_10vs2_mirror",1,3374,"Start",1,1
"S13676248","3ways_4_mirror",1,2320,"Start",1,2
"S13676248","3ways_4_mirror",3,1148,"Decision",2,1
"S13676248","Equal_6vs6",1,2685,"Start",1,1
"S13676248","Equal_8vs8_mirror",1,1687,"Start",1,1
"S13676248","Loop_1_mirror",1,1957,"Start",1,1
"S13676248","Loop_2_mirror",1,2683,"Start",1,1
"S13676248","Equal_8vs3",1,2449,"Start",1,1
"S13676248","4vs1",1,1384,"Start",1,2
"S13676248","4vs1_mirror",1,3706,"Start",1,1
"S13676248","3ways_2_mirror",1,1453,"Start",1,2
"S13676248","3ways_2_mirror",3,604,"Decision",2,1
"S13676248","4ways_mirror",1,1400,"Start",1,4
"S13676248","4ways_mirror",3,1399,"Decision",2,3
"S13676248","4ways_mirror",9,953,"Decision",3,2
"S13676248","4ways_mirror",10,718,"Decision",4,1
"S13676248","Equal_8vs3_mirror",1,1463,"Start",1,1
"S59709097","Equal_6vs3_mirror",1,3786,"Start",1,1
"S59709097","3ways_4",1,3059,"Start",1,2
"S59709097","3ways_2",1,1538,"Start",1,2
"S59709097","4vs1_mirror",1,1700,"Start",1,1
"S59709097","Equal_8vs8",1,3633,"Start",1,1
"S59709097","Equal_4vs2",1,1826,"Start",1,1
"S59709097","Equal_7vs9",1,5917,"Start",1,1
"S59709097","3ways_1",1,1689,"Start",1,2
"S59709097","3ways_1",4,532,"Decision",2,1
"S59709097","Equal_7vs2_mirror",1,1603,"Start",1,1
"S59709097","3ways_1_mirror",1,2210,"Start",1,2
"S59709097","Loop_1_mirror",1,1506,"Start",1,1
"S59709097","Equal_2vs5",1,2041,"Start",1,1
"S59709097","Equal_10vs2",1,1622,"Start",1,1
"S59709097","3ways_3_mirror",1,2162,"Start",1,3
"S59709097","3ways_3_mirror",3,625,"Decision",2,2
"S59709097","3ways_2_mirror",1,1361,"Start",1,2
"S59709097","3ways_2_mirror",8,607,"Decision",2,1
"S59709097","4ways",1,1521,"Start",1,4
"S59709097","4ways",3,563,"Decision",2,3
"S59709097","4ways",12,678,"Decision",3,2
"S59709097","6vs1_1",1,1273,"Start",1,1
"S59709097","Equal_6vs3",1,2637,"Start",1,1
"S59709097","6vs1_2_mirror",1,1346,"Start",1,1
"S59709097","Equal_8vs3_mirror",1,1792,"Start",1,1
"S59709097","4ways_mirror",1,1788,"Start",1,4
"S59709097","4ways_mirror",8,664,"Decision",2,3
"S59709097","Loop_2",1,1216,"Start",1,1
"S59709097","Loop_2_mirror",1,931,"Start",1,1
"S59709097","Equal_7vs9_mirror",1,4412,"Start",1,1
"S59709097","Equal_6vs6",1,1791,"Start",1,1
"S59709097","3ways_4_mirror",1,1892,"Start",1,2
"S59709097","3ways_4_mirror",3,630,"Decision",2,1
"S59709097","6vs2_mirror",1,902,"Start",1,1
"S59709097","Equal_10vs2_mirror",1,1541,"Start",1,1
"S59709097","Equal_6vs6_mirror",1,1249,"Start",1,1
"S59709097","Equal_8vs3",1,1288,"Start",1,1
"S59709097","6vs1_2",1,1082,"Start",1,1
"S59709097","Equal_8vs8_mirror",1,2738,"Start",1,1
"S59709097","Loop_1",1,1067,"Start",1,1
"S59709097","Equal_2vs5_mirror",1,898,"Start",1,1
"S59709097","4vs1",1,961,"Start",1,2
"S59709097","4vs1",4,810,"Decision",2,1
"S59709097","6vs2",1,894,"Start",1,1
"S59709097","Equal_7vs2",1,1099,"Start",1,1
"S59709097","3ways_3",1,1646,"Start",1,2
"S59709097","Equal_4vs2_mirror",1,1794,"Start",1,1
"S59709097","6vs1_1_mirror",1,1339,"Start",1,1
"S38808275","Equal_2vs5",1,1632,"Start",1,1
"S38808275","Equal_4vs2_mirror",1,1794,"Start",1,1
"S38808275","4ways",1,1483,"Start",1,4
"S38808275","4ways",3,906,"Decision",2,3
"S38808275","4ways",9,891,"Decision",3,2
"S38808275","4ways",16,804,"Decision",4,1
"S38808275","Equal_7vs9",1,5764,"Start",1,1
"S38808275","Equal_10vs2_mirror",1,1579,"Start",1,1
"S38808275","Equal_8vs3_mirror",1,2145,"Start",1,1
"S38808275","Loop_1",1,1841,"Start",1,1
"S38808275","3ways_1",1,3476,"Start",1,2
"S38808275","3ways_1",3,670,"Decision",2,1
"S38808275","Equal_7vs2_mirror",1,1885,"Start",1,1
"S38808275","Loop_1_mirror",1,1774,"Start",1,1
"S38808275","4vs1",1,1689,"Start",1,2
"S38808275","Loop_2_mirror",1,1779,"Start",1,1
"S38808275","Equal_7vs9_mirror",1,6426,"Start",1,1
"S38808275","Equal_6vs6",1,3989,"Start",1,1
"S38808275","Equal_2vs5_mirror",1,1229,"Start",1,1
"S38808275","Equal_8vs8",1,6805,"Start",1,1
"S38808275","Equal_6vs3",1,4018,"Start",1,1
"S38808275","3ways_1_mirror",1,1873,"Start",1,2
"S38808275","3ways_1_mirror",3,513,"Decision",2,1
"S38808275","Equal_4vs2",1,1970,"Start",1,1
"S38808275","3ways_4",1,1753,"Start",1,2
"S38808275","3ways_4",3,624,"Decision",2,1
"S38808275","3ways_4_mirror",1,1388,"Start",1,2
"S38808275","3ways_4_mirror",3,686,"Decision",2,1
"S38808275","3ways_2",1,1840,"Start",1,2
"S38808275","3ways_2",3,742,"Decision",2,1
"S38808275","Equal_7vs2",1,1238,"Start",1,1
"S38808275","Equal_10vs2",1,1896,"Start",1,1
"S38808275","6vs2",1,1162,"Start",1,1
"S38808275","Loop_2",1,1733,"Start",1,1
"S38808275","6vs1_2",1,3125,"Start",1,1
"S38808275","6vs2_mirror",1,1237,"Start",1,1
"S38808275","Equal_6vs6_mirror",1,2891,"Start",1,1
"S38808275","Equal_6vs3_mirror",1,3323,"Start",1,1
"S38808275","3ways_2_mirror",1,1624,"Start",1,2
"S38808275","3ways_2_mirror",3,484,"Decision",2,1
"S38808275","Equal_8vs8_mirror",1,2999,"Start",1,1
