subject	world	trialNo	steps	path	times
S47525094	medium_cathedral	12	216	p(2,4)p(3,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(4,6);p(4,7);p(4,8);p(5,8);p(6,8);p(7,8);p(6,8);p(5,8);p(4,8);p(4,7);p(4,6);p(4,5);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	2799;623;725;705;568;592;1050;585;1829;666;585;561;544;587;660;2321;650;588;992;530;583;1035;582;608;631;1306;600;654;752;666;567;577;1527;658;562;
S47525094	medium_roomG	13	235	p(3,3)p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(5,6);p(6,6);p(7,6);p(6,6);p(5,6);p(5,5);p(5,4);p(5,3);p(5,2);p(5,1);p(6,1);	1378;793;1574;697;618;864;894;632;586;655;713;1080;600;639;592;553;601;738;1020;
S47525094	medium_cubicles	14	258	p(0,0)p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);p(4,2);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(5,5);p(5,6);	1771;616;674;900;611;616;705;1670;608;909;573;561;610;1094;584;1258;617;906;548;567;579;575;1044;
S47525094	medium_library	15	273	p(1,3)p(1,2);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(6,3);p(6,2);p(6,1);p(6,0);p(7,0);	1517;569;841;560;587;608;893;593;783;1106;784;574;634;1201;624;
S47525094	hard_two_big_rooms_1	16	284	p(9,3)p(10,3);p(11,3);p(12,3);p(12,2);p(12,1);p(12,0);p(13,0);p(14,0);p(15,0);p(16,0);p(17,0);	1676;632;704;786;568;570;844;706;679;675;703;
S47525094	hard_hallway_0_copy	17	298	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(9,0);p(10,0);p(11,0);p(12,0);p(12,1);p(12,2);	2847;568;576;693;594;657;769;834;671;629;642;640;1080;891;
S47525094	hard_two_loops_2	18	308	p(10,2)p(9,2);p(8,2);p(7,2);p(6,2);p(6,3);p(6,4);p(5,4);p(4,4);p(3,4);p(2,4);	2045;593;603;1016;886;551;1058;576;608;781;
S47525094	hard_hallway_1_rotate	19	333	p(10,4)p(10,3);p(10,2);p(10,1);p(10,0);p(9,0);p(8,0);p(7,0);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);p(4,3);p(3,3);p(3,2);p(3,1);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);	3014;599;566;552;706;624;571;718;620;731;584;585;577;793;701;593;569;880;618;624;1309;611;600;559;914;
S47525094	hard_hallway_0	20	343	p(14,5)p(14,4);p(14,3);p(14,2);p(14,1);p(14,0);p(13,0);p(12,0);p(12,1);p(12,2);p(12,3);	2281;626;560;602;581;818;631;1026;696;846;
S47525094	hard_hallway_1	21	366	p(4,0)p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(7,4);p(7,5);p(7,6);p(7,7);p(7,8);p(6,8);p(5,8);p(5,9);p(4,9);p(3,9);p(2,9);p(1,9);p(0,9);p(0,8);p(0,7);p(0,6);p(1,6);	2023;650;577;568;597;635;592;730;543;521;622;1418;560;562;615;634;1071;552;665;631;626;646;913;
S47525094	hard_two_loops_0	22	396	p(9,7)p(8,7);p(7,7);p(6,7);p(6,6);p(6,5);p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(4,2);p(4,3);p(4,2);p(4,1);p(5,1);p(6,1);p(6,0);p(7,0);p(8,0);p(9,0);p(10,0);p(11,0);p(12,0);p(12,1);p(13,1);p(14,1);p(15,1);p(16,1);p(17,1);	1663;575;630;2125;600;632;585;549;560;793;819;1192;582;1104;593;1445;619;591;611;656;674;671;686;912;1018;1090;714;597;591;595;
S47525094	hard_two_big_rooms_0	23	438	p(7,0)p(8,0);p(8,1);p(8,2);p(8,3);p(9,3);p(10,3);p(10,4);p(10,5);p(10,6);p(11,6);p(12,6);p(11,6);p(10,6);p(10,5);p(10,4);p(10,3);p(10,2);p(10,1);p(10,0);p(11,0);p(12,0);p(11,0);p(10,0);p(10,1);p(10,2);p(10,3);p(9,3);p(8,3);p(8,2);p(8,1);p(8,0);p(7,0);p(6,0);p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(4,2);p(4,1);p(4,0);p(3,0);	1908;590;600;562;576;958;1562;592;634;809;601;1271;646;722;616;627;592;577;621;1033;617;839;586;588;554;575;672;619;707;614;686;545;519;562;553;663;631;911;1003;594;600;877;
S5849675	easy_large_loop_1	1	7	p(0,4)p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(6,4);p(6,3);	4100;238;298;307;511;306;758;
S5849675	easy_large_loop_2	2	28	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,4);p(5,5);p(5,4);p(5,3);p(5,2);p(5,1);p(6,1);p(7,1);p(8,1);p(9,1);p(9,2);p(9,3);p(9,4);	2376;366;273;360;490;552;1064;292;321;409;511;232;280;263;276;249;342;326;497;350;287;
