"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"EU",-58.9345733456429,4.743,1,1,NA,NA,NA,NA,"S96991060","Planning"
"EU-Num",-58.9345733456429,4.743,1,1,NA,10,NA,NA,"S96991060","Planning"
"PW",-40.9246609612292,1.8536,1,0.1,NA,NA,NA,NA,"S96991060","Planning"
"PW_DU",-41.5318926253713,1.8536,0.916,0.1,NA,NA,NA,NA,"S96991060","Planning"
"Random",-65.069282667125,1,NA,NA,NA,NA,NA,NA,"S96991060","Heuristic"
"Sampling",-61.7156630326556,NA,NA,NA,NA,NA,9.6,9.4,"S96991060","Planning"
"Steps",-46.3202749261104,2.306,NA,NA,1,NA,NA,NA,"S96991060","Heuristic"
"Steps-Cells",-47.4441500426498,1.6152,NA,NA,0.8,NA,NA,NA,"S96991060","Heuristic"
"Steps-Cells-Num",-48.4568663540087,0.248,NA,NA,0.74,0.1,NA,NA,"S96991060","Heuristic"
"Steps-Num",-45.1102601997428,0.4214,NA,NA,1,0.18,NA,NA,"S96991060","Heuristic"
"Cells",-70.9866070440369,8,NA,NA,0,NA,NA,NA,"S5524413","Heuristic"
"Cells-Num",-70.4447780304219,2.4252,NA,NA,0,0.1,NA,NA,"S5524413","Heuristic"
"DU",-41.2165595301897,1.1358,0.58,1,NA,NA,NA,NA,"S5524413","Planning"
"DU-Num",-48.3330869852,0.393,0.28,1,NA,0.62,NA,NA,"S5524413","Planning"
"EU",-43.5027405242525,2.092,1,1,NA,NA,NA,NA,"S5524413","Planning"
"EU-Num",-43.5030195932915,2.092,1,1,NA,10,NA,NA,"S5524413","Planning"
"PW",-38.0496332648797,1.0942,1,0.28,NA,NA,NA,NA,"S5524413","Planning"
"PW_DU",-38.6084485352117,1.1794,0.866,0.7032,NA,NA,NA,NA,"S5524413","Planning"
"Random",-69.3977647722791,1,NA,NA,NA,NA,NA,NA,"S5524413","Heuristic"
"Sampling",-54.9677698167596,NA,NA,NA,NA,NA,41.8,7.8,"S5524413","Planning"
"Steps",-46.7081041541614,1.7074,NA,NA,1,NA,NA,NA,"S5524413","Heuristic"
"Steps-Cells",-46.6403501057317,1.5882,NA,NA,0.98,NA,NA,NA,"S5524413","Heuristic"
"Steps-Cells-Num",-41.341829524758,0.264,NA,NA,1,0.1,NA,NA,"S5524413","Heuristic"
"Steps-Num",-41.341829524758,0.264,NA,NA,1,0.1,NA,NA,"S5524413","Heuristic"
"Cells",-56.9416563450052,4.1838,NA,NA,0,NA,NA,NA,"S26606702","Heuristic"
"Cells-Num",-57.0475886241117,0.7824,NA,NA,0,0.1,NA,NA,"S26606702","Heuristic"
"DU",-41.4004987659483,1.9728,0.64,1,NA,NA,NA,NA,"S26606702","Planning"
"DU-Num",-44.598628062,1.4178,0.54,1,NA,3,NA,NA,"S26606702","Planning"
"EU",-44.5450652631622,3.1582,1,1,NA,NA,NA,NA,"S26606702","Planning"
"EU-Num",-44.5451329950271,3.1582,1,1,NA,10,NA,NA,"S26606702","Planning"
"PW",-40.7090849352036,2.092,1,0.3392,NA,NA,NA,NA,"S26606702","Planning"
"PW_DU",-42.3774429330159,1.9728,0.65,1.0926,NA,NA,NA,NA,"S26606702","Planning"
"Random",-56.8675709926802,1,NA,NA,NA,NA,NA,NA,"S26606702","Heuristic"
"Sampling",-51.032222070954,NA,NA,NA,NA,NA,23.2,3.8,"S26606702","Planning"
"Steps",-43.1463977042648,2.306,NA,NA,1,NA,NA,NA,"S26606702","Heuristic"
"Steps-Cells",-44.0546853570528,1.1794,NA,NA,0.56,NA,NA,NA,"S26606702","Heuristic"
"Steps-Cells-Num",-43.8771358089113,0.232,NA,NA,0.56,0.1,NA,NA,"S26606702","Heuristic"
"Steps-Num",-42.2667109222863,0.4534,NA,NA,1,0.1,NA,NA,"S26606702","Heuristic"
"Cells",-55.2150773574583,3.0582,NA,NA,0,NA,NA,NA,"S26213068","Heuristic"
"Cells-Num",-55.8068736463534,0.6154,NA,NA,0,0.1,NA,NA,"S26213068","Heuristic"
"DU",-51.7803059201868,1.2368,0.51,1,NA,NA,NA,NA,"S26213068","Planning"
"DU-Num",-52.687116653,0.8766,0.46,1,NA,3.22,NA,NA,"S26213068","Planning"
"EU",-36.2010813085481,2.092,1,1,NA,NA,NA,NA,"S26213068","Planning"
"EU-Num",-37.4215538661062,1.9728,1,1,NA,5.4,NA,NA,"S26213068","Planning"
"PW",-38.6644246544688,1.3498,1,0.3828,NA,NA,NA,NA,"S26213068","Planning"
"PW_DU",-48.7065952123063,1.0664,0.32,0.5798,NA,NA,NA,NA,"S26213068","Planning"
"Random",-54.3181258217547,1,NA,NA,NA,NA,NA,NA,"S26213068","Heuristic"
"Sampling",-39.2346090534284,NA,NA,NA,NA,NA,70,5.6,"S26213068","Planning"
"Steps",-42.8612395430732,1.1516,NA,NA,1,NA,NA,NA,"S26213068","Heuristic"
"Steps-Cells",-45.6024101551905,0.652,NA,NA,0.62,NA,NA,NA,"S26213068","Heuristic"
"Steps-Cells-Num",-44.3734020117266,0.264,NA,NA,0.7,1.6,NA,NA,"S26213068","Heuristic"
"Steps-Num",-41.2863072924332,0.3528,NA,NA,1,1.6,NA,NA,"S26213068","Heuristic"
"Cells",-50.2730544572551,5.1988,NA,NA,0,NA,NA,NA,"S22385139","Heuristic"
"Cells-Num",-50.4968058926439,1.1524,NA,NA,0,0.1,NA,NA,"S22385139","Heuristic"
"DU",-27.2832170505671,0.6778,0.49,1,NA,NA,NA,NA,"S22385139","Planning"
"DU-Num",-27.7874017151,0.6778,0.53,1,NA,6.88,NA,NA,"S22385139","Planning"
"EU",-30.0580509220872,1.7344,1,1,NA,NA,NA,NA,"S22385139","Planning"
"EU-Num",-30.1456769648109,1.7344,1,1,NA,9.2,NA,NA,"S22385139","Planning"
"PW",-25.2516995617878,0.7824,1,0.344,NA,NA,NA,NA,"S22385139","Planning"
"PW_DU",-26.4675054793425,0.5594,0.5,0.4372,NA,NA,NA,NA,"S22385139","Planning"
"Random",-49.3997284883153,1,NA,NA,NA,NA,NA,NA,"S22385139","Heuristic"
"Sampling",-33.8181642298659,NA,NA,NA,NA,NA,108,14.4,"S22385139","Planning"
"Steps",-28.000866072353,0.5282,NA,NA,1,NA,NA,NA,"S22385139","Heuristic"
"Steps-Cells",-32.0602344106588,0.4464,NA,NA,0.86,NA,NA,NA,"S22385139","Heuristic"
"Steps-Cells-Num",-30.2392530717653,0.2,NA,NA,0.88,0.28,NA,NA,"S22385139","Heuristic"
"Steps-Num",-28.1973408636405,0.2,NA,NA,1,0.18,NA,NA,"S22385139","Heuristic"
"Cells",-62.6140230647459,4.9656,NA,NA,0,NA,NA,NA,"S99195421","Heuristic"
"Cells-Num",-63.3661622135439,0.9286,NA,NA,0,0.1,NA,NA,"S99195421","Heuristic"
"DU",-25.4670112136163,1.009,0.908,1,NA,NA,NA,NA,"S99195421","Planning"
"DU-Num",-26.147187454,0.948,0.9,1,NA,6,NA,NA,"S99195421","Planning"
"EU",-24.5861153264201,1.07,1,1,NA,NA,NA,NA,"S99195421","Planning"
"EU-Num",-24.5918669078407,1.07,1,1,NA,5.4,NA,NA,"S99195421","Planning"
"PW",-25.7363806463727,0.826,1,0.6116,NA,NA,NA,NA,"S99195421","Planning"
"PW_DU",-25.8161988026928,0.826,0.982,0.6116,NA,NA,NA,NA,"S99195421","Planning"
"Random",-61.1316145816971,1,NA,NA,NA,NA,NA,NA,"S99195421","Heuristic"
"Sampling",-30.9797921848156,NA,NA,NA,NA,NA,490,23,"S99195421","Planning"
"Steps",-31.4733965173082,0.6778,NA,NA,1,NA,NA,NA,"S99195421","Heuristic"
"Steps-Cells",-32.0415870716647,0.6342,NA,NA,0.86,NA,NA,NA,"S99195421","Heuristic"
"Steps-Cells-Num",-33.8957854485772,0.2,NA,NA,0.88,0.26,NA,NA,"S99195421","Heuristic"
"Steps-Num",-32.2610480121602,0.232,NA,NA,1,0.26,NA,NA,"S99195421","Heuristic"
"Cells",-59.3884929747523,7.5442,NA,NA,0,NA,NA,NA,"S15539512","Heuristic"
"Cells-Num",-59.2708022712372,1.4108,NA,NA,0,0.1,NA,NA,"S15539512","Heuristic"
"DU",-33.0917315998707,1.009,0.34,1,NA,NA,NA,NA,"S15539512","Planning"
"DU-Num",-29.2993860204,0.4222,0.2,1,NA,0.8,NA,NA,"S15539512","Planning"
"EU",-49.6045444826185,3.6246,1,1,NA,NA,NA,NA,"S15539512","Planning"
"EU-Num",-49.6043130279247,3.6246,1,1,NA,10,NA,NA,"S15539512","Planning"
"PW",-28.9618177157237,0.948,1,0.1,NA,NA,NA,NA,"S15539512","Planning"
"PW_DU",-33.5268176396323,0.9044,0.774,0.1,NA,NA,NA,NA,"S15539512","Planning"
"Random",-58.3590258594573,1,NA,NA,NA,NA,NA,NA,"S15539512","Heuristic"
"Sampling",-39.0006590790785,NA,NA,NA,NA,NA,2,8.6,"S15539512","Planning"
"Steps",-40.692845138142,1.3062,NA,NA,1,NA,NA,NA,"S15539512","Heuristic"
"Steps-Cells",-41.3555983535747,1.221,NA,NA,0.92,NA,NA,NA,"S15539512","Heuristic"
"Steps-Cells-Num",-36.6904152001927,0.3396,NA,NA,0.96,0.26,NA,NA,"S15539512","Heuristic"
"Steps-Num",-36.4675963777546,0.393,NA,NA,1,0.34,NA,NA,"S15539512","Heuristic"
"Cells",-55.641968479218,6.6326,NA,NA,0,NA,NA,NA,"S5135481","Heuristic"
"Cells-Num",-55.6505238473832,1.2404,NA,NA,0,0.1,NA,NA,"S5135481","Heuristic"
"DU",-29.9246843219318,1.009,0.52,1,NA,NA,NA,NA,"S5135481","Planning"
"DU-Num",-29.8284879874,1.009,0.52,1,NA,5.68,NA,NA,"S5135481","Planning"
"EU",-41.6789254724228,2.5918,1,1,NA,NA,NA,NA,"S5135481","Planning"
"EU-Num",-41.6790573622231,2.5918,1,1,NA,10,NA,NA,"S5135481","Planning"
"PW",-29.9522477430016,1.1552,1,0.271,NA,NA,NA,NA,"S5135481","Planning"
"PW_DU",-32.7124108394463,0.9654,0.48,0.9426,NA,NA,NA,NA,"S5135481","Planning"
"Random",-55.0628889784519,1,NA,NA,NA,NA,NA,NA,"S5135481","Heuristic"
"Sampling",-74.5604146692421,NA,NA,NA,NA,NA,38.8,5.4,"S5135481","Planning"
"Steps",-37.126573633993,0.9342,NA,NA,1,NA,NA,NA,"S5135481","Heuristic"
"Steps-Cells",-37.2144568641408,0.9342,NA,NA,0.92,NA,NA,NA,"S5135481","Heuristic"
"Steps-Cells-Num",-31.9163153408817,0.2,NA,NA,0.92,0.1,NA,NA,"S5135481","Heuristic"
"Steps-Num",-31.815463996032,0.2,NA,NA,1,0.1,NA,NA,"S5135481","Heuristic"
"Cells",-63.4302287443663,7.5442,NA,NA,0,NA,NA,NA,"S61980388","Heuristic"
"Cells-Num",-63.6163525971898,1.53,NA,NA,0,0.1,NA,NA,"S61980388","Heuristic"
"DU",-28.558539282384,0.6466,0.36,1,NA,NA,NA,NA,"S61980388","Planning"
"DU-Num",-31.2835580281,0.3022,0.24,1,NA,2.7,NA,NA,"S61980388","Planning"
"EU",-38.8845517375864,2.092,1,1,NA,NA,NA,NA,"S61980388","Planning"
"EU-Num",-38.8850644241945,2.092,1,1,NA,10,NA,NA,"S61980388","Planning"
"PW",-27.3915172584433,0.7214,1,0.1156,NA,NA,NA,NA,"S61980388","Planning"
"PW_DU",-30.9508385639545,0.4936,0.44,0.2946,NA,NA,NA,NA,"S61980388","Planning"
"Random",-62.635891988474,1,NA,NA,NA,NA,NA,NA,"S61980388","Heuristic"
"Sampling",-46.0341212572007,NA,NA,NA,NA,NA,13.6,4,"S61980388","Planning"
"Steps",-38.9765862557702,0.652,NA,NA,1,NA,NA,NA,"S61980388","Heuristic"
"Steps-Cells",-39.1668282211866,0.652,NA,NA,0.96,NA,NA,NA,"S61980388","Heuristic"
"Steps-Cells-Num",-38.1972651728003,0.232,NA,NA,1,1.4,NA,NA,"S61980388","Heuristic"
"Steps-Num",-38.1972651728003,0.232,NA,NA,1,1.4,NA,NA,"S61980388","Heuristic"
"Cells",-57.5436769253833,4.091,NA,NA,0,NA,NA,NA,"S45766389","Heuristic"
"Cells-Num",-57.8546704595961,0.826,NA,NA,0,0.1,NA,NA,"S45766389","Heuristic"
"DU",-45.4424640169826,2.1394,0.54,1,NA,NA,NA,NA,"S45766389","Planning"
"DU-Num",-49.193727013,1.0942,0.34,1,NA,3,NA,NA,"S45766389","Planning"
"EU",-42.4712083266476,2.925,1,1,NA,NA,NA,NA,"S45766389","Planning"
"EU-Num",-43.5876941236432,2.7584,1,1,NA,6.32,NA,NA,"S45766389","Planning"
"PW",-43.9228634529889,2.2586,1,0.5032,NA,NA,NA,NA,"S45766389","Planning"
"PW_DU",-46.2477878466526,2.0202,0.57,0.8764,NA,NA,NA,NA,"S45766389","Planning"
"Random",-58.6594304669086,1,NA,NA,NA,NA,NA,NA,"S45766389","Heuristic"
"Sampling",-55.8734477574738,NA,NA,NA,NA,NA,26.4,8.6,"S45766389","Planning"
"Steps",-42.5529883893576,2.092,NA,NA,1,NA,NA,NA,"S45766389","Heuristic"
"Steps-Cells",-43.4367258724993,1.2404,NA,NA,0.58,NA,NA,NA,"S45766389","Heuristic"
"Steps-Cells-Num",-44.091015132942,0.3174,NA,NA,0.62,0.18,NA,NA,"S45766389","Heuristic"
"Steps-Num",-43.3176840360382,0.6154,NA,NA,1,0.34,NA,NA,"S45766389","Heuristic"
"Cells",-60.7582409353047,4.417,NA,NA,0,NA,NA,NA,"S92380239","Heuristic"
"Cells-Num",-61.0028749453813,1.009,NA,NA,0,0.1,NA,NA,"S92380239","Heuristic"
"DU",-25.57650980072,0.948,0.89,1,NA,NA,NA,NA,"S92380239","Planning"
"DU-Num",-30.3692520794,0.79,0.77,1,NA,4.14,NA,NA,"S92380239","Planning"
"EU",-25.3236135690069,1.1552,1,1,NA,NA,NA,NA,"S92380239","Planning"
"EU-Num",-25.2856918947998,1.1552,1,1,NA,5.6,NA,NA,"S92380239","Planning"
"PW",-25.0049655224077,0.826,1,0.5698,NA,NA,NA,NA,"S92380239","Planning"
"PW_DU",-25.2950408350994,0.826,0.982,0.6116,NA,NA,NA,NA,"S92380239","Planning"
"Random",-61.1316145816971,1,NA,NA,NA,NA,NA,NA,"S92380239","Heuristic"
"Sampling",-29.6140883674215,NA,NA,NA,NA,NA,660,22.8,"S92380239","Planning"
"Steps",-31.5493284127364,0.6778,NA,NA,1,NA,NA,NA,"S92380239","Heuristic"
"Steps-Cells",-31.9844204591417,0.6778,NA,NA,0.88,NA,NA,NA,"S92380239","Heuristic"
"Steps-Cells-Num",-33.5853048712282,0.2,NA,NA,0.92,0.26,NA,NA,"S92380239","Heuristic"
"Steps-Num",-33.002519325795,0.216,NA,NA,1,0.26,NA,NA,"S92380239","Heuristic"
"Cells",-62.8179067885578,5.5248,NA,NA,0,NA,NA,NA,"S39442499","Heuristic"
"Cells-Num",-63.0387260725063,1.1184,NA,NA,0,0.1,NA,NA,"S39442499","Heuristic"
"DU",-33.4068179766464,1.07,0.28,1,NA,NA,NA,NA,"S39442499","Planning"
"DU-Num",-35.7139240533,0.9342,0.24,1,NA,8.1,NA,NA,"S39442499","Planning"
"EU",-44.2856158246411,2.5918,1,1,NA,NA,NA,NA,"S39442499","Planning"
"EU-Num",-44.2853843699473,2.5918,1,1,NA,10,NA,NA,"S39442499","Planning"
"PW",-34.9129049328678,1.07,1,0.19,NA,NA,NA,NA,"S39442499","Planning"
"PW_DU",-32.2857636650541,0.948,0.42,0.1078,NA,NA,NA,NA,"S39442499","Planning"
"Random",-61.7731457861197,1,NA,NA,NA,NA,NA,NA,"S39442499","Heuristic"
"Sampling",-58.6335937443858,NA,NA,NA,NA,NA,12.6,9.2,"S39442499","Planning"
"Steps",-34.3916182098099,0.9654,NA,NA,1,NA,NA,NA,"S39442499","Heuristic"
"Steps-Cells",-35.0848281126082,0.6902,NA,NA,0.8,NA,NA,NA,"S39442499","Heuristic"
"Steps-Cells-Num",-35.7073986528622,0.2,NA,NA,0.86,0.18,NA,NA,"S39442499","Heuristic"
"Steps-Num",-34.6834382201249,0.216,NA,NA,1,0.18,NA,NA,"S39442499","Heuristic"
"Cells",-65.7907134362458,4.8358,NA,NA,0,NA,NA,NA,"S1772311","Heuristic"
"Cells-Num",-65.4048886244395,0.8434,NA,NA,0,0.1,NA,NA,"S1772311","Heuristic"
"DU",-31.7247053693925,0.8434,0.46,1,NA,NA,NA,NA,"S1772311","Planning"
"DU-Num",-31.3873185083,0.7824,0.48,1,NA,7,NA,NA,"S1772311","Planning"
"EU",-41.3572559324464,2.092,1,1,NA,NA,NA,NA,"S1772311","Planning"
"EU-Num",-41.4173799846791,2.092,1,1,NA,9.2,NA,NA,"S1772311","Planning"
"PW",-29.3572012191582,0.887,1,0.2558,NA,NA,NA,NA,"S1772311","Planning"
"PW_DU",-31.0378370030585,0.7214,0.45,0.327,NA,NA,NA,NA,"S1772311","Planning"
"Random",-65.4213032507137,1,NA,NA,NA,NA,NA,NA,"S1772311","Heuristic"
"Sampling",-57.5546766500375,NA,NA,NA,NA,NA,7.6,4.2,"S1772311","Planning"
"Steps",-30.3305152384246,0.6342,NA,NA,1,NA,NA,NA,"S1772311","Heuristic"
"Steps-Cells",-34.2880762607464,0.4464,NA,NA,0.66,NA,NA,NA,"S1772311","Heuristic"
"Steps-Cells-Num",-32.2404364398178,0.2,NA,NA,0.66,0.9,NA,NA,"S1772311","Heuristic"
"Steps-Num",-31.3576695803987,0.232,NA,NA,1,0.42,NA,NA,"S1772311","Heuristic"
"Cells",-61.8195617966238,7.0884,NA,NA,0,NA,NA,NA,"S47559050","Heuristic"
"Cells-Num",-62.0081704672393,1.4448,NA,NA,0,0.1,NA,NA,"S47559050","Heuristic"
"DU",-31.1045300227497,0.5906,0.04,1,NA,NA,NA,NA,"S47559050","Planning"
"DU-Num",-31.1045281133,0.5906,0.04,1,NA,10,NA,NA,"S47559050","Planning"
"EU",-46.8105715624448,2.7584,1,1,NA,NA,NA,NA,"S47559050","Planning"
"EU-Num",-46.8111004012442,2.7584,1,1,NA,10,NA,NA,"S47559050","Planning"
"PW",-34.4893946512272,1.2404,1,0.1,NA,NA,NA,NA,"S47559050","Planning"
"PW_DU",-32.2771484656484,0.547,0,0.48,NA,NA,NA,NA,"S47559050","Planning"
"Random",-61.01363153604,1,NA,NA,NA,NA,NA,NA,"S47559050","Heuristic"
"Sampling",-42.4665379945384,NA,NA,NA,NA,NA,26.4,2,"S47559050","Planning"
"Steps",-31.2914897220205,0.384,NA,NA,1,NA,NA,NA,"S47559050","Heuristic"
"Steps-Cells",-31.2914897220205,0.384,NA,NA,1,NA,NA,NA,"S47559050","Heuristic"
"Steps-Cells-Num",-32.5774733658097,0.2,NA,NA,1,1.52,NA,NA,"S47559050","Heuristic"
"Steps-Num",-32.5774733658097,0.2,NA,NA,1,1.52,NA,NA,"S47559050","Heuristic"
"Cells",-61.7209741831679,4.5098,NA,NA,0,NA,NA,NA,"S6979021","Heuristic"
"Cells-Num",-61.4503589714606,0.948,NA,NA,0,0.1,NA,NA,"S6979021","Heuristic"
"DU",-26.4238146984709,0.7512,0.85,1,NA,NA,NA,NA,"S6979021","Planning"
"DU-Num",-25.85815747,0.7512,0.85,1,NA,6.44,NA,NA,"S6979021","Planning"
"EU",-23.9237690770407,1.009,1,1,NA,NA,NA,NA,"S6979021","Planning"
"EU-Num",-23.9621663299525,1.009,1,1,NA,6.6,NA,NA,"S6979021","Planning"
"PW",-26.8907128452818,0.7512,1,0.6116,NA,NA,NA,NA,"S6979021","Planning"
"PW_DU",-26.3528968131318,0.7512,0.946,0.6952,NA,NA,NA,NA,"S6979021","Planning"
"Random",-61.5371796948056,1,NA,NA,NA,NA,NA,NA,"S6979021","Heuristic"
"Sampling",-33.5709071234321,NA,NA,NA,NA,NA,700,19.6,"S6979021","Planning"
"Steps",-29.9406010554258,0.4846,NA,NA,1,NA,NA,NA,"S6979021","Heuristic"
"Steps-Cells",-30.6246040852047,0.4846,NA,NA,0.92,NA,NA,NA,"S6979021","Heuristic"
"Steps-Cells-Num",-29.6930040657543,0.216,NA,NA,0.94,0.5,NA,NA,"S6979021","Heuristic"
"Steps-Num",-29.1036539756284,0.232,NA,NA,1,0.5,NA,NA,"S6979021","Heuristic"
"Cells",-62.9285524676224,6.6326,NA,NA,0,NA,NA,NA,"S73177240","Heuristic"
"Cells-Num",-63.1730433345487,1.4448,NA,NA,0,0.1,NA,NA,"S73177240","Heuristic"
"DU",-36.8591932272282,1.2404,0.4,1,NA,NA,NA,NA,"S73177240","Planning"
"DU-Num",-35.041786902,0.2764,0.2,1,NA,0.26,NA,NA,"S73177240","Planning"
"EU",-45.9242047499034,2.7584,1,1,NA,NA,NA,NA,"S73177240","Planning"
"EU-Num",-45.9238649552367,2.7584,1,1,NA,10,NA,NA,"S73177240","Planning"
"PW",-37.4108062421793,1.2404,1,0.1,NA,NA,NA,NA,"S73177240","Planning"
"PW_DU",-37.9008079270222,1.2404,0.49,1.4256,NA,NA,NA,NA,"S73177240","Planning"
"Random",-62.2303268753655,1,NA,NA,NA,NA,NA,NA,"S73177240","Heuristic"
"Sampling",-71.4463761264166,NA,NA,NA,NA,NA,23.4,8.6,"S73177240","Planning"
"Steps",-42.5575240245678,1.8536,NA,NA,1,NA,NA,NA,"S73177240","Heuristic"
"Steps-Cells",-44.2527579108563,1.4448,NA,NA,0.84,NA,NA,NA,"S73177240","Heuristic"
"Steps-Cells-Num",-42.6094856729659,0.3778,NA,NA,0.9,0.34,NA,NA,"S73177240","Heuristic"
"Steps-Num",-41.9140981988532,0.409,NA,NA,1,0.34,NA,NA,"S73177240","Heuristic"
"Cells",-65.9284734201994,8,NA,NA,0,NA,NA,NA,"S47525094","Heuristic"
"Cells-Num",-65.7752220484132,2.4726,NA,NA,0,0.1,NA,NA,"S47525094","Heuristic"
"DU",-30.2644353694254,0.5594,0.16,1,NA,NA,NA,NA,"S47525094","Planning"
"DU-Num",-30.9021933084,0.2702,0.08,1,NA,0.6,NA,NA,"S47525094","Planning"
"EU",-42.5213575721946,2.2586,1,1,NA,NA,NA,NA,"S47525094","Planning"
"EU-Num",-42.5216366412336,2.2586,1,1,NA,10,NA,NA,"S47525094","Planning"
"PW",-32.0170661462045,1.009,1,0.1,NA,NA,NA,NA,"S47525094","Planning"
"PW_DU",-31.214258850644,0.506,0.08,2,NA,NA,NA,NA,"S47525094","Planning"
"Random",-64.4405740027023,1,NA,NA,NA,NA,NA,NA,"S47525094","Heuristic"
"Sampling",-69.005598833475,NA,NA,NA,NA,NA,42.4,16.2,"S47525094","Planning"
"Steps",-32.9791363331316,0.6778,NA,NA,1,NA,NA,NA,"S47525094","Heuristic"
"Steps-Cells",-32.9791363331316,0.6778,NA,NA,1,NA,NA,NA,"S47525094","Heuristic"
"Steps-Cells-Num",-33.1076296025727,0.216,NA,NA,1,0.18,NA,NA,"S47525094","Heuristic"
"Steps-Num",-33.1076296025727,0.216,NA,NA,1,0.18,NA,NA,"S47525094","Heuristic"
"Cells",-63.034495996321,4.743,NA,NA,0,NA,NA,NA,"S66051476","Heuristic"
"Cells-Num",-63.2329762216757,0.887,NA,NA,0,0.1,NA,NA,"S66051476","Heuristic"
"DU",-29.1842073647289,0.4464,0.44,1,NA,NA,NA,NA,"S66051476","Planning"
"DU-Num",-28.7305522774,0.384,0.44,1,NA,3.6,NA,NA,"S66051476","Planning"
"EU",-30.8762769744427,1.4108,1,1,NA,NA,NA,NA,"S66051476","Planning"
"EU-Num",-30.9303373881377,1.4108,1,1,NA,7.6,NA,NA,"S66051476","Planning"
"PW",-27.8170310674797,0.4936,1,0.3358,NA,NA,NA,NA,"S66051476","Planning"
"PW_DU",-28.3801042725574,0.384,0.54,0.4468,NA,NA,NA,NA,"S66051476","Planning"
"Random",-63.0414571015825,1,NA,NA,NA,NA,NA,NA,"S66051476","Heuristic"
"Sampling",-36.375205366278,NA,NA,NA,NA,NA,154,16.2,"S66051476","Planning"
"Steps",-31.6191358489941,0.3528,NA,NA,1,NA,NA,NA,"S66051476","Heuristic"
"Steps-Cells",-33.9097199719961,0.2702,NA,NA,0.9,NA,NA,NA,"S66051476","Heuristic"
"Steps-Cells-Num",-33.635065398845,0.2,NA,NA,0.9,2.42,NA,NA,"S66051476","Heuristic"
"Steps-Num",-31.7175639139283,0.2,NA,NA,1,1.6,NA,NA,"S66051476","Heuristic"
"Cells",-61.7870843833746,4.2766,NA,NA,0,NA,NA,NA,"S9218469","Heuristic"
"Cells-Num",-62.1667568260554,0.7998,NA,NA,0,0.1,NA,NA,"S9218469","Heuristic"
"DU",-45.6658777812012,1.9728,0.83,1,NA,NA,NA,NA,"S9218469","Planning"
"DU-Num",-45.215817504,1.4108,0.79,1,NA,2.12,NA,NA,"S9218469","Planning"
"EU",-44.3833806498504,2.7584,1,1,NA,NA,NA,NA,"S9218469","Planning"
"EU-Num",-44.4144951950447,2.5918,1,1,NA,3.84,NA,NA,"S9218469","Planning"
"PW",-45.2138232702534,1.9728,1,0.6116,NA,NA,NA,NA,"S9218469","Planning"
"PW_DU",-45.0077912121685,1.9728,0.936,0.6952,NA,NA,NA,NA,"S9218469","Planning"
"Random",-61.6551627404626,1,NA,NA,NA,NA,NA,NA,"S9218469","Heuristic"
"Sampling",-62.8369360021522,NA,NA,NA,NA,NA,26,9.8,"S9218469","Planning"
"Steps",-49.3766068920972,2.5918,NA,NA,1,NA,NA,NA,"S9218469","Heuristic"
"Steps-Cells",-47.9672872746227,1.3256,NA,NA,0.5,NA,NA,NA,"S9218469","Heuristic"
"Steps-Cells-Num",-48.1758863292738,0.248,NA,NA,0.58,0.1,NA,NA,"S9218469","Heuristic"
"Steps-Num",-49.8386380349461,0.4624,NA,NA,1,0.1,NA,NA,"S9218469","Heuristic"
"Cells",-69.0250265571559,7.5442,NA,NA,0,NA,NA,NA,"S50795321","Heuristic"
"Cells-Num",-69.415838353008,1.4448,NA,NA,0,0.1,NA,NA,"S50795321","Heuristic"
"DU",-45.4682169223965,1.2646,0.26,1,NA,NA,NA,NA,"S50795321","Planning"
"DU-Num",-41.9335078932,0.4222,0.08,1,NA,0.7,NA,NA,"S50795321","Planning"
"EU",-49.9262238845828,2.5918,1,1,NA,NA,NA,NA,"S50795321","Planning"
"EU-Num",-49.9251276476819,2.5918,1,1,NA,10,NA,NA,"S50795321","Planning"
"PW",-39.0840064328942,1.4108,1,0.2064,NA,NA,NA,NA,"S50795321","Planning"
"PW_DU",-45.1947030301092,1.2646,0.436,0.1532,NA,NA,NA,NA,"S50795321","Planning"
"Random",-68.1807694479506,1,NA,NA,NA,NA,NA,NA,"S50795321","Heuristic"
"Sampling",-46.7401773294021,NA,NA,NA,NA,NA,22.4,2.4,"S50795321","Planning"
"Steps",-43.7088555511789,1.3498,NA,NA,1,NA,NA,NA,"S50795321","Heuristic"
"Steps-Cells",-44.1160900556486,1.3498,NA,NA,0.98,NA,NA,NA,"S50795321","Heuristic"
"Steps-Cells-Num",-41.8917519512148,0.3556,NA,NA,1,0.34,NA,NA,"S50795321","Heuristic"
"Steps-Num",-41.8917519512148,0.3556,NA,NA,1,0.34,NA,NA,"S50795321","Heuristic"
"Cells",-57.9698248012423,5.1618,NA,NA,0,NA,NA,NA,"S2336314","Heuristic"
"Cells-Num",-57.4586762166688,1.009,NA,NA,0,0.1,NA,NA,"S2336314","Heuristic"
"DU",-32.5225637501984,0.7214,0.04,1,NA,NA,NA,NA,"S2336314","Planning"
"DU-Num",-33.4190342052,0.547,0.04,1,NA,3.3,NA,NA,"S2336314","Planning"
"EU",-35.8533037728951,1.8536,1,1,NA,NA,NA,NA,"S2336314","Planning"
